Buchungsdatum,Werk,Materialnummer,Materialbezeichnung,Menge,Einheit,Kostenstelle,Buchungskreis
15.01.2024,UK01,DIESEL-001,Diesel für Fuhrpark,1250.5,L,CC-OPS-001,UK00
22.01.2024,UK01,PETROL-001,Benzin Dienstwagen,380.0,L,CC-OPS-002,UK00
03.02.2024,DE01,DIESEL-001,Diesel Lager München,2100.0,L,CC-WH-001,DE00
14.02.2024,DE01,NATURAL-GAS,Erdgas Heizung,450.0,M3,CC-FAC-001,DE00
28.02.2024,UK02,DIESEL-001,Diesel Fuhrpark Manchester,875.0,L,CC-OPS-003,UK00
05.03.2024,UK01,LPG-001,Flüssiggas Gabelstapler,310.0,KG,CC-WH-002,UK00
12.03.2024,DE02,PETROL-001,Benzin Berliner Flotte,420.5,L,CC-OPS-004,DE00
20.03.2024,US01,DIESEL-001,Diesel NY Operations,1890.0,L,CC-OPS-005,US00
01.04.2024,UK01,DIESEL-HVO,HVO Diesel Lkw,650.0,L,CC-OPS-001,UK00
15.04.2024,DE01,DIESEL-001,Diesel Monatslieferung,1750.0,L,CC-WH-001,DE00
25.04.2024,SG01,PETROL-001,Petrol Singapore Hub,290.0,L,CC-OPS-006,SG00
30.04.2024,UK01,NATURAL-GAS,Erdgas Bürogebäude,380.0,M3,CC-FAC-002,UK00
10.05.2024,UK02,DIESEL-001,Diesel Lieferfahrzeuge,1100.0,L,CC-OPS-003,UK00
20.05.2024,DE01,LPG-001,LPG Flurförderzeug,195.0,KG,CC-WH-001,DE00
31.05.2024,UK01,PETROL-001,Benzin Außendienst,510.0,L,CC-SALES-001,UK00
